City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,mil'kovo,55.6078,37.7956,-18.7,94,8,2.26,RU,1704633058
116,baukau,51.5526,7.2042,2.23,72,93,3.13,DE,1704633059
117,guerrero negro,27.9769,-114.0611,14.29,62,0,5.04,MX,1704633059
118,rio claro,-22.4114,-47.5614,33.0,58,0,2.0,BR,1704633060
119,rundu,-17.9333,19.7667,25.31,65,100,4.06,NA,1704633060
120,kirakira,-10.4544,161.9205,26.17,85,98,1.09,SB,1704633061
121,thompson,55.7435,-97.8558,-27.74,100,88,2.01,CA,1704632934
122,mancio lima,-7.6142,-72.8958,25.17,76,98,0.16,BR,1704632917
123,mahajanga,-15.7167,46.3167,30.4,69,95,3.56,MG,1704633063
124,worland,44.0169,-107.9554,-4.63,92,75,1.54,US,1704633063
125,lebu,-37.6167,-73.65,16.51,77,22,2.4,CL,1704633064
126,burgos,42.3394,-3.7079,4.23,75,75,4.63,ES,1704633064
127,polyarnyy,69.1989,33.4478,-14.92,99,83,5.32,RU,1704633065
128,gorontalo,0.5412,123.0595,24.61,95,100,1.35,ID,1704633066
129,fale old settlement,-9.3852,-171.2468,28.06,77,99,4.89,TK,1704633067
130,smolensk,55.0,33.0,-18.85,94,6,2.74,RU,1704633067
131,bonthe,7.5264,-12.505,32.57,55,92,3.24,SL,1704633068
132,torghay,49.6339,63.4981,0.69,98,100,6.46,KZ,1704633068
133,hasaki,35.7333,140.8333,6.22,78,100,1.49,JP,1704633069
134,la'ie,21.6477,-157.9253,20.98,81,5,0.26,US,1704633070
135,skowhegan,44.7651,-69.7192,-8.12,90,100,3.77,US,1704633070
136,longyearbyen,78.2186,15.6401,-18.09,71,40,7.2,SJ,1704633071
137,rondonopolis,-16.4708,-54.6356,30.73,58,0,3.36,BR,1704633072
138,kapuskasing,49.4169,-82.4331,-11.95,85,100,3.09,CA,1704632822
139,tazovsky,67.4667,78.7,-22.3,92,9,4.93,RU,1704633073
140,saldanha,-33.0117,17.9442,23.03,68,100,9.57,ZA,1704633074
141,vredendal,-31.6683,18.5012,25.42,48,100,10.13,ZA,1704633074
142,georgetown,5.4112,100.3354,25.96,94,40,0.0,MY,1704632905
143,baise city,23.8997,106.6133,19.21,80,56,1.53,CN,1704633077
144,pingnan,23.5543,110.3976,20.51,67,100,1.6,CN,1704633078
145,port macquarie,-31.4333,152.9167,20.5,76,100,5.26,AU,1704633078
146,kondratovo,57.9804,56.1066,-20.84,76,75,3.13,RU,1704633082
147,freeport,40.6576,-73.5832,4.45,90,100,8.23,US,1704633084
148,ribeira grande,38.5167,-28.7,17.22,63,40,8.49,PT,1704633084
149,brookings,44.3114,-96.7984,-11.0,91,100,3.09,US,1704632857
150,maquoketa,42.0689,-90.6657,-0.05,92,95,2.37,US,1704633092
151,port saint john's,-31.6229,29.5448,23.86,83,99,5.34,ZA,1704633093
152,college,64.8569,-147.8028,-16.01,79,40,2.57,US,1704633094
153,mahina,-17.5065,-149.489,24.87,88,20,1.54,PF,1704633095
154,sitka,57.0531,-135.33,0.94,80,75,2.06,US,1704633096
155,nar'yan-mar,67.6713,53.087,-11.61,94,100,5.81,RU,1704633096
156,ashland,40.8167,-82.2665,0.49,98,100,2.43,US,1704633097
157,constantia,44.1833,28.65,13.38,84,82,9.45,RO,1704633098
158,punta arenas,-53.15,-70.9167,10.06,66,75,8.75,CL,1704633098
159,dunedin,-45.8742,170.5036,12.67,91,70,1.79,NZ,1704633099
160,pingliang,35.5392,106.6861,-0.34,63,74,0.45,CN,1704633100
161,inhambane,-23.865,35.3833,30.99,58,20,4.12,MZ,1704633100
162,flying fish cove,-10.4217,105.6791,25.82,94,100,2.06,CX,1704633101
163,trondheim,63.4305,10.3951,-4.95,75,8,0.45,NO,1704633102
164,bubaque,11.2833,-15.8333,26.22,46,7,3.27,GW,1704633102
165,west island,-12.1568,96.8225,27.99,89,100,4.63,CC,1704633103
166,ozalp,38.6548,43.993,-5.2,70,6,0.7,TR,1704633103
167,hamilton,39.1834,-84.5333,2.14,93,100,3.6,US,1704633104
168,christchurch,-43.5333,172.6333,15.11,87,35,4.63,NZ,1704632813
169,udachny,66.4167,112.4,-24.75,99,100,2.65,RU,1704633105
170,ust-nera,64.5667,143.2,-42.14,99,94,1.68,RU,1704633105
171,mejit,10.2753,170.8646,26.97,65,97,8.3,MH,1704633106
172,san juan de miraflores,-12.1629,-76.9635,24.54,75,100,2.67,PE,1704633106
173,daru,-9.0763,143.2092,26.97,85,91,1.9,PG,1704633107
174,saltillo,25.4167,-101.0,10.85,57,100,1.59,MX,1704633108
175,howrah,22.5892,88.3103,21.0,73,0,2.06,IN,1704633108
176,ocean shores,46.9737,-124.1563,6.12,96,100,1.54,US,1704633109
177,luderitz,-26.6481,15.1594,23.4,54,100,13.67,NA,1704633109
178,bireun,5.203,96.7009,25.24,89,100,3.6,ID,1704633109
179,neiafu,-18.65,-173.9833,26.83,78,33,1.56,TO,1704633110
180,chui,-33.6971,-53.4616,25.38,75,100,2.1,UY,1704633110
181,scottburgh,-30.2867,30.7532,24.2,88,98,6.4,ZA,1704633111
182,galliano,29.4422,-90.2992,6.67,87,0,2.06,US,1704633112
183,tripoli,32.8752,13.1875,14.98,48,0,11.35,LY,1704633112
184,rikaze,29.25,88.8833,-1.86,17,0,0.88,CN,1704633113
185,cananea,30.95,-110.3,0.71,31,98,4.0,MX,1704633113
186,khowai,24.1,91.6333,19.88,64,0,0.37,IN,1704633114
187,tolanaro,-25.0319,46.9987,26.54,85,86,6.75,MG,1704633114
188,sandnessjoen,66.0217,12.6316,1.06,93,75,10.8,NO,1704633115
189,hilo,19.7297,-155.09,22.36,99,100,2.06,US,1704632962
190,erenhot,43.6475,111.9767,-11.9,81,40,3.27,CN,1704633116
191,pratapgarh,24.0333,74.7833,17.81,60,0,3.93,IN,1704633116
192,attapeu,14.8,106.8333,24.68,60,33,0.33,LA,1704633117
193,bitam,2.076,11.5007,35.08,23,27,1.69,GA,1704633118
194,kenai,60.5544,-151.2583,3.05,79,100,6.17,US,1704633118
195,tinajo,29.0788,-13.7081,19.49,73,0,5.14,ES,1704633119
196,hwange,-18.3693,26.5019,33.41,35,65,1.63,ZW,1704633119
197,onega,63.9061,38.1404,-17.1,98,99,2.95,RU,1704633120
198,bekondo,4.6819,9.3214,35.21,27,50,1.63,CM,1704633120
199,puerto real,36.5282,-6.1901,13.67,71,0,4.63,ES,1704633121
200,mount pearl,47.5166,-52.7813,-8.81,80,75,14.4,CA,1704633121
201,tura,25.5198,90.2201,15.52,56,0,1.46,IN,1704633122
202,ebon,4.582,168.6964,27.98,82,84,8.91,MH,1704633123
203,haiku-pauwela,20.9219,-156.3051,21.13,88,0,2.06,US,1704633124
204,vega de alatorre,20.0333,-96.6333,21.89,94,99,2.96,MX,1704633124
205,touros,-5.1989,-35.4608,30.65,56,4,4.74,BR,1704633125
206,thunder bay,48.4001,-89.3168,-7.01,73,100,6.17,CA,1704633125
207,zharkent,44.1628,80.0,2.0,48,33,1.69,KZ,1704633126
208,tofol,5.3248,163.0078,28.11,76,100,9.38,FM,1704633127
209,petropavlovsk-kamchatsky,53.0452,158.6483,-15.86,78,3,5.36,RU,1704633127
210,queenstown,-31.8976,26.8753,32.55,23,71,2.52,ZA,1704633128
211,saint-philippe,-21.3585,55.7679,28.77,80,52,5.95,RE,1704633128
212,lampazos de naranjo,27.0167,-100.5167,11.62,48,100,2.41,MX,1704633129
213,uige,-7.6087,15.0613,27.86,50,92,2.19,AO,1704633130
214,vorgashor,67.5833,63.95,-23.83,100,99,3.02,RU,1704633130
215,greymouth,-42.4667,171.2,12.95,87,100,1.81,NZ,1704633131
216,uturoa,-16.7333,-151.4333,26.85,76,85,4.3,PF,1704633132
217,lazaro cardenas,17.9583,-102.2,22.57,67,100,2.0,MX,1704633132
218,tafuna,-14.3358,-170.72,27.97,94,40,1.54,AS,1704633133
219,remire-montjoly,4.9167,-52.2667,29.02,74,75,6.69,GF,1704633134
220,san patricio,28.017,-97.5169,15.47,86,100,3.02,US,1704633135
221,mokhsogollokh,61.4681,128.9203,-45.43,100,67,0.89,RU,1704633135
222,arraial do cabo,-22.9661,-42.0278,27.92,57,75,1.54,BR,1704633004
223,at taj,24.2049,23.2857,26.1,12,100,4.05,LY,1704633136
224,korla,41.7597,86.1469,-5.44,74,30,1.44,CN,1704633137
225,tiksi,71.6872,128.8694,-33.57,97,50,3.33,RU,1704633138
226,isafjordur,66.0755,-23.124,9.02,66,75,12.35,IS,1704633139
227,castillos,-34.1667,-53.8333,24.8,76,100,2.67,UY,1704633139
228,lae,-6.7221,146.9847,27.19,80,79,0.33,PG,1704633140
229,arauca,7.0847,-70.7591,27.75,51,76,2.32,CO,1704633141
230,karratha,-20.7377,116.8463,32.64,39,0,8.2,AU,1704633142
231,puerto quijarro,-17.7833,-57.7667,34.02,47,0,2.81,BO,1704633096
232,petauke,-14.2426,31.3253,28.57,48,78,1.34,ZM,1704633143
233,zeya,53.75,127.2667,-32.51,99,16,1.67,RU,1704633144
234,ust'-kulom,61.6864,53.6902,-29.73,100,100,2.1,RU,1704633145
235,portland,45.5234,-122.6762,5.18,94,100,3.13,US,1704632544
236,saudarkrokur,65.7461,-19.6394,4.39,82,100,8.18,IS,1704633146
237,tobelo,1.7284,128.0095,27.64,78,100,2.07,ID,1704633147
238,walvis bay,-22.9575,14.5053,23.27,59,15,8.47,NA,1704633149
239,kapa'a,22.0752,-159.319,21.99,87,40,2.57,US,1704633151
240,orsha,54.5153,30.4053,-15.71,89,18,3.08,BY,1704633152
241,kishanganj,26.1167,87.9333,20.13,51,0,2.77,IN,1704633153
242,kerikeri,-35.2268,173.9474,18.84,91,26,1.73,NZ,1704633004
243,sisimiut,66.9395,-53.6735,-10.82,81,100,2.7,GL,1704633154
244,pauini,-7.7136,-66.9764,25.55,89,98,1.13,BR,1704632986
245,road town,18.4167,-64.6167,27.05,74,40,4.63,VG,1704633156
246,sitangkai,4.6628,119.3928,28.52,75,60,4.28,PH,1704633156
